CHR,START,tag_arm
chr1,0,p
chr1,125000000,q
chr10,0,p
chr10,40200000,q
chr11,0,p
chr11,53700000,q
chr12,0,p
chr12,35800000,q
chr13,0,p
chr13,17900000,q
chr14,0,p
chr14,17600000,q
chr15,0,p
chr15,19000000,q
chr16,0,p
chr16,36600000,q
chr17,0,p
chr17,24000000,q
chr18,0,p
chr18,17200000,q
chr19,0,p
chr19,26500000,q
chr2,0,p
chr2,93300000,q
chr20,0,p
chr20,27500000,q
chr21,0,p
chr21,13200000,q
chr22,0,p
chr22,14700000,q
chr3,0,p
chr3,91000000,q
chr4,0,p
chr4,50400000,q
chr5,0,p
chr5,48400000,q
chr6,0,p
chr6,61000000,q
chr7,0,p
chr7,59900000,q
chr8,0,p
chr8,45600000,q
chr9,0,p
chr9,49000000,q
chrX,0,p
chrX,60600000,q
chrY,0,p
chrY,12500000,q
